id_renglon,venta_id,fecha_venta,jugador_id,producto_id,ubicacion_id,cantidad
1,50001,2024-03-18,JUG-206,PROD-01,UBI-PUE288,1
2,50001,2024-03-18,JUG-206,PROD-08,UBI-PUE288,2
3,50002,2024-01-29,JUG-034,PROD-07,UBI-PUE042,1
4,50002,2024-01-29,JUG-034,PROD-08,UBI-PUE042,1
5,50002,2024-01-29,JUG-034,PROD-03,UBI-PUE042,1
6,50003,2024-04-18,JUG-189,PROD-01,UBI-PUE281,2
7,50004,2025-07-20,JUG-082,PROD-02,UBI-PUE110,2
8,50004,2025-07-20,JUG-082,PROD-01,UBI-PUE110,1
9,50004,2025-07-20,JUG-082,PROD-06,UBI-PUE110,3
11,50005,2024-08-29,JUG-244,PROD-07,UBI-PUE039,1
12,50006,2024-09-18,JUG-054,PROD-04,UBI-PUE191,3
13,50007,2025-01-09,JUG-063,PROD-08,UBI-PUE048,3
14,50008,2023-12-25,JUG-225,PROD-08,UBI-PUE226,1
15,50009,2025-05-30,JUG-211,PROD-08,UBI-PUE114,1
16,50010,2024-03-11,JUG-213,PROD-04,UBI-PUE204,1
17,50010,2024-03-11,JUG-213,PROD-06,UBI-PUE204,1
18,50011,2025-06-26,JUG-112,PROD-02,UBI-PUE129,1
19,50012,2025-07-10,JUG-030,PROD-01,UBI-PUE029,1
20,50013,2026-03-30,JUG-243,PROD-04,UBI-PUE029,1
21,50014,2026-07-30,JUG-166,PROD-01,UBI-PUE246,1
22,50014,2026-07-30,JUG-166,PROD-02,UBI-PUE246,1
23,50015,2024-05-12,JUG-192,PROD-06,UBI-PUE004,2
24,50016,2026-06-05,JUG-043,PROD-01,UBI-PUE176,1
25,50016,2026-06-05,JUG-043,PROD-05,UBI-PUE176,3
26,50016,2026-06-05,JUG-043,PROD-08,UBI-PUE176,1
27,50017,2023-11-23,JUG-226,PROD-06,UBI-PUE117,1
28,50018,2023-09-23,JUG-149,PROD-06,UBI-PUE053,2
29,50019,2025-06-21,JUG-044,PROD-07,UBI-PUE105,1
30,50019,2025-06-21,JUG-044,PROD-08,UBI-PUE105,1
31,50019,2025-06-21,JUG-044,PROD-04,UBI-PUE105,1
32,50020,2025-02-05,JUG-242,PROD-03,UBI-PUE239,2
33,50021,2025-07-31,JUG-163,PROD-04,UBI-PUE142,1
34,50021,2025-07-31,JUG-163,PROD-06,UBI-PUE142,2
35,50022,2025-02-10,JUG-217,PROD-04,UBI-PUE018,2
36,50023,2025-07-01,JUG-179,PROD-01,UBI-PUE004,1
37,50023,2025-07-01,JUG-179,PROD-07,UBI-PUE004,1
38,50023,2025-07-01,JUG-179,PROD-02,UBI-PUE004,1
39,50024,2026-08-14,JUG-009,PROD-08,UBI-PUE073,1
40,50025,2025-06-03,JUG-216,PROD-07,UBI-PUE023,1
42,50027,2025-12-12,JUG-144,PROD-06,UBI-PUE266,2
43,50028,2024-07-08,JUG-237,PROD-08,UBI-PUE175,1
44,50028,2024-07-08,JUG-237,PROD-03,UBI-PUE175,1
46,50029,2024-03-01,JUG-150,PROD-06,UBI-PUE091,1
47,50030,2026-03-01,JUG-004,PROD-04,UBI-PUE013,1
48,50030,2026-03-01,JUG-004,PROD-07,UBI-PUE013,1
50,50031,2026-01-18,JUG-043,PROD-07,UBI-PUE136,2
51,50032,2024-06-18,JUG-053,PROD-03,UBI-PUE218,1
52,50032,2024-06-18,JUG-053,PROD-04,UBI-PUE218,1
53,50032,2024-06-18,JUG-053,PROD-07,UBI-PUE218,1
54,50033,2026-01-26,JUG-007,PROD-03,UBI-PUE277,1
55,50033,2026-01-26,JUG-007,PROD-01,UBI-PUE277,2
56,50034,2023-05-31,JUG-161,PROD-01,UBI-PUE128,1
57,50035,2025-07-01,JUG-229,PROD-03,UBI-PUE123,1
58,50036,2026-03-29,JUG-005,PROD-07,UBI-PUE128,1
59,50037,2026-02-26,JUG-212,PROD-05,UBI-PUE112,1
60,50038,2025-06-07,JUG-003,PROD-04,UBI-PUE125,1
61,50039,2025-07-20,JUG-236,PROD-04,UBI-PUE167,1
62,50040,2025-08-16,JUG-100,PROD-08,UBI-PUE018,1
63,50040,2025-08-16,JUG-100,PROD-05,UBI-PUE018,1
64,50041,2025-09-16,JUG-006,PROD-02,UBI-PUE284,1
65,50042,2024-05-13,JUG-019,PROD-01,UBI-PUE183,1
66,50042,2024-05-13,JUG-019,PROD-06,UBI-PUE183,1
67,50043,2023-08-18,JUG-184,PROD-04,UBI-PUE083,1
68,50043,2023-08-18,JUG-184,PROD-03,UBI-PUE083,1
