Ubicacion,Latitud,Longitud,Ventas,Instalaciones
Punto_Xicotepec_1,20.315303675011258,-97.87223683107658,2,3
Punto_Zacatlan,20.031584268367386,-98.26122287143225,2,3
Punto_Huauchinango,20.219519906470598,-98.35014346026067,2,3
Punto_Xicotepec_2,20.354899224535316,-97.87636014846592,1,10
Punto_Chignahuapan,19.98287121165811,-98.05900577946342,1,10
Punto_Teziutlan,20.184056447502478,-98.06435128199519,5,30
Punto_Cholula,19.35515935095567,-98.11763927185629,5,30
Punto_Puebla_Centro,19.13696295389625,-98.33030214359589,5,30
Punto_Amozoc,19.029592310264878,-97.73504031539325,5,30
Punto_San_Martin,19.457739311888197,-98.02150400106989,5,30
Punto_Libres,20.16724225096794,-98.05618564516854,3,5
Punto_Zaragoza,20.112846597911307,-98.11737064471757,3,5
Punto_Cuetzalan,20.1811344523573,-98.04536617637326,1,3
Punto_Atlixco,19.988573708231893,-98.29878725867614,1,3
Punto_Tehuacan,20.189395469558267,-98.06678503098803,0,5
Punto_Izucar,20.165460908323535,-98.0576463724521,0,8
Punto_Tecamachalco,20.064803721494158,-98.23375705248911,0,12
Punto_Tepeaca,19.32232417344862,-97.51534143620135,0,15
Punto_Grajales,19.419429996205178,-97.37842150508135,0,4
