id_renglon,venta_id,fecha_venta,jugador_id,producto_id,ubicacion_id,cantidad
1,50001,2024-03-18,JUG-206,PROD-01,UBI-PUE288,1.0
2,50001,2024-03-18,JUG-206,PROD-08,UBI-PUE288,2.0
3,50002,2024-01-29,JUG-034,PROD-07,UBI-PUE042,1.0
4,50002,2024-01-29,JUG-034,PROD-08,UBI-PUE042,1.0
5,50002,2024-01-29,JUG-034,PROD-03,UBI-PUE042,1.0
6,50003,2024-04-18,JUG-189,PROD-01,UBI-PUE281,2.0
7,50004,2025-07-20,JUG-082,PROD-02,UBI-PUE110,2.0
8,50004,2025-07-20,JUG-082,PROD-01,UBI-PUE110,1.0
9,50004,2025-07-20,JUG-082,PROD-06,UBI-PUE110,3.0
10,50005,2024-08-29,JUG-244,PROD-02,UBI-PUE039,
11,50005,2024-08-29,JUG-244,PROD-07,UBI-PUE039,1.0
12,50006,2024-09-18,JUG-054,PROD-04,UBI-PUE191,3.0
13,50007,2025-01-09,JUG-063,PROD-08,UBI-PUE048,3.0
14,50008,2023-12-25,JUG-225,PROD-08,UBI-PUE226,1.0
15,50009,2025-05-30,JUG-211,PROD-08,UBI-PUE114,1.0
16,50010,2024-03-11,JUG-213,PROD-04,UBI-PUE204,1.0
17,50010,2024-03-11,JUG-213,PROD-06,UBI-PUE204,1.0
18,50011,2025-06-26,JUG-112,PROD-02,UBI-PUE129,1.0
19,50012,2025-07-10,JUG-030,PROD-01,UBI-PUE029,1.0
20,50013,2026-03-30,JUG-243,PROD-04,UBI-PUE029,1.0
21,50014,2026-07-30,JUG-166,PROD-01,UBI-PUE246,1.0
22,50014,2026-07-30,JUG-166,PROD-02,UBI-PUE246,1.0
23,50015,2024-05-12,JUG-192,PROD-06,UBI-PUE004,2.0
24,50016,2026-06-05,JUG-043,PROD-01,UBI-PUE176,1.0
25,50016,2026-06-05,JUG-043,PROD-05,UBI-PUE176,3.0
26,50016,2026-06-05,JUG-043,PROD-08,UBI-PUE176,1.0
27,50017,2023-11-23,JUG-226,PROD-06,UBI-PUE117,1.0
28,50018,2023-09-23,JUG-149,PROD-06,UBI-PUE053,2.0
29,50019,2025-06-21,JUG-044,PROD-07,UBI-PUE105,1.0
30,50019,2025-06-21,JUG-044,PROD-08,UBI-PUE105,1.0
31,50019,2025-06-21,JUG-044,PROD-04,UBI-PUE105,1.0
32,50020,2025-02-05,JUG-242,PROD-03,UBI-PUE239,2.0
33,50021,2025-07-31,JUG-163,PROD-04,UBI-PUE142,1.0
34,50021,2025-07-31,JUG-163,PROD-06,UBI-PUE142,2.0
35,50022,2025-02-10,JUG-217,PROD-04,UBI-PUE018,2.0
36,50023,2025-07-01,JUG-179,PROD-01,UBI-PUE004,1.0
37,50023,2025-07-01,JUG-179,PROD-07,UBI-PUE004,1.0
38,50023,2025-07-01,JUG-179,PROD-02,UBI-PUE004,1.0
39,50024,2026-08-14,JUG-009,PROD-08,UBI-PUE073,1.0
40,50025,2025-06-03,JUG-216,PROD-07,UBI-PUE023,1.0
41,50026,2025-05-20,JUG-146,PROD-03,UBI-PUE263,
42,50027,2025-12-12,JUG-144,PROD-06,UBI-PUE266,2.0
43,50028,2024-07-08,JUG-237,PROD-08,UBI-PUE175,1.0
44,50028,2024-07-08,JUG-237,PROD-03,UBI-PUE175,1.0
45,50028,2024-07-08,JUG-237,PROD-03,UBI-PUE175,1.0
46,50029,2024-03-01,JUG-150,PROD-06,UBI-PUE091,1.0
47,50030,2026-03-01,JUG-004,PROD-04,UBI-PUE013,1.0
48,50030,2026-03-01,JUG-004,PROD-07,UBI-PUE013,1.0
49,50030,2026-03-01,JUG-004,PROD-04,UBI-PUE013,1.0
50,50031,2026-01-18,JUG-043,PROD-07,UBI-PUE136,2.0
51,50032,2024-06-18,JUG-053,PROD-03,UBI-PUE218,1.0
52,50032,2024-06-18,JUG-053,PROD-04,UBI-PUE218,1.0
53,50032,2024-06-18,JUG-053,PROD-07,UBI-PUE218,1.0
54,50033,2026-01-26,JUG-007,PROD-03,UBI-PUE277,1.0
55,50033,2026-01-26,JUG-007,PROD-01,UBI-PUE277,2.0
56,50034,2023-05-31,JUG-161,PROD-01,UBI-PUE128,1.0
57,50035,2025-07-01,JUG-229,PROD-03,UBI-PUE123,1.0
58,50036,2026-03-29,JUG-005,PROD-07,UBI-PUE128,1.0
59,50037,2026-02-26,JUG-212,PROD-05,UBI-PUE112,1.0
60,50038,2025-06-07,JUG-003,PROD-04,UBI-PUE125,1.0
61,50039,2025-07-20,JUG-236,PROD-04,UBI-PUE167,1.0
62,50040,2025-08-16,JUG-100,PROD-08,UBI-PUE018,1.0
63,50040,2025-08-16,JUG-100,PROD-05,UBI-PUE018,1.0
64,50041,2025-09-16,JUG-006,PROD-02,UBI-PUE284,1.0
65,50042,2024-05-13,JUG-019,PROD-01,UBI-PUE183,1.0
66,50042,2024-05-13,JUG-019,PROD-06,UBI-PUE183,1.0
67,50043,2023-08-18,JUG-184,PROD-04,UBI-PUE083,1.0
68,50043,2023-08-18,JUG-184,PROD-03,UBI-PUE083,1.0
69,50044,2024-06-04,JUG-025,PROD-05,UBI-PUE080,1.0
70,50044,2024-06-04,JUG-025,PROD-04,UBI-PUE080,1.0
71,50045,2025-04-14,JUG-193,PROD-02,UBI-PUE070,1.0
72,50045,2025-04-14,JUG-193,PROD-03,UBI-PUE070,1.0
73,50045,2025-04-14,JUG-193,PROD-06,UBI-PUE070,2.0
74,50046,2024-12-18,JUG-138,PROD-08,UBI-PUE203,1.0
75,50047,2024-08-26,JUG-249,PROD-08,UBI-PUE149,1.0
76,50047,2024-08-26,JUG-249,PROD-07,UBI-PUE149,1.0
77,50048,2026-07-11,JUG-096,PROD-08,UBI-PUE178,1.0
78,50048,2026-07-11,JUG-096,PROD-08,UBI-PUE178,1.0
79,50049,2023-10-25,JUG-169,PROD-04,UBI-PUE124,2.0
80,50050,2024-06-04,JUG-210,PROD-01,UBI-PUE187,1.0
81,50050,2024-06-04,JUG-210,PROD-03,UBI-PUE187,1.0
82,50050,2024-06-04,JUG-210,PROD-08,UBI-PUE187,1.0
83,50051,2024-04-20,JUG-015,PROD-01,UBI-PUE011,1.0
84,50052,2024-10-26,JUG-227,PROD-02,UBI-PUE176,1.0
85,50052,2024-10-26,JUG-227,PROD-02,UBI-PUE176,1.0
86,50052,2024-10-26,JUG-227,PROD-04,UBI-PUE176,1.0
87,50053,2024-02-01,JUG-001,PROD-05,UBI-PUE276,2.0
88,50054,2025-02-25,JUG-095,PROD-07,UBI-PUE042,1.0
89,50054,2025-02-25,JUG-095,PROD-05,UBI-PUE042,1.0
90,50054,2025-02-25,JUG-095,PROD-03,UBI-PUE042,1.0
91,50055,2025-08-13,JUG-133,PROD-06,UBI-PUE201,1.0
92,50055,2025-08-13,JUG-133,PROD-04,UBI-PUE201,3.0
93,50056,2024-07-02,JUG-160,PROD-01,UBI-PUE185,2.0
94,50057,2025-06-30,JUG-136,PROD-06,UBI-PUE050,1.0
95,50058,2025-07-30,JUG-145,PROD-01,UBI-PUE283,1.0
96,50058,2025-07-30,JUG-145,PROD-02,UBI-PUE283,1.0
97,50059,2025-01-28,JUG-246,PROD-07,UBI-PUE192,1.0
98,50060,2025-01-09,JUG-156,PROD-01,UBI-PUE070,1.0
99,50061,2025-08-09,JUG-216,PROD-02,UBI-PUE080,1.0
100,50062,2026-01-22,JUG-005,PROD-03,UBI-PUE259,1.0
101,50063,2025-03-29,JUG-066,PROD-02,UBI-PUE244,1.0
102,50063,2025-03-29,JUG-066,PROD-06,UBI-PUE244,1.0
103,50064,2026-06-16,JUG-043,PROD-02,UBI-PUE233,1.0
104,50065,2026-06-11,JUG-216,PROD-08,UBI-PUE257,1.0
105,50065,2026-06-11,JUG-216,PROD-08,UBI-PUE257,1.0
106,50066,2025-03-31,JUG-028,PROD-05,UBI-PUE198,1.0
107,50067,2025-12-11,JUG-066,PROD-03,UBI-PUE064,1.0
108,50067,2025-12-11,JUG-066,PROD-04,UBI-PUE064,1.0
109,50067,2025-12-11,JUG-066,PROD-08,UBI-PUE064,1.0
110,50068,2024-03-08,JUG-184,PROD-08,UBI-PUE262,2.0
111,50069,2025-10-02,JUG-086,PROD-03,UBI-PUE210,3.0
112,50069,2025-10-02,JUG-086,PROD-04,UBI-PUE210,1.0
113,50069,2025-10-02,JUG-086,PROD-06,UBI-PUE210,1.0
114,50070,2024-02-15,JUG-187,PROD-07,UBI-PUE030,1.0
115,50071,2024-01-16,JUG-225,PROD-03,UBI-PUE051,1.0
116,50072,2025-06-09,JUG-077,PROD-06,UBI-PUE132,1.0
117,50073,2025-10-04,JUG-021,PROD-08,UBI-PUE033,1.0
118,50073,2025-10-04,JUG-021,PROD-02,UBI-PUE033,2.0
119,50073,2025-10-04,JUG-021,PROD-07,UBI-PUE033,1.0
120,50074,2024-06-12,JUG-062,PROD-02,UBI-PUE013,1.0
121,50075,2026-01-20,JUG-038,PROD-06,UBI-PUE118,1.0
122,50075,2026-01-20,JUG-038,PROD-01,UBI-PUE118,1.0
123,50075,2026-01-20,JUG-038,PROD-06,UBI-PUE118,1.0
124,50076,2024-03-22,JUG-084,PROD-05,UBI-PUE052,1.0
125,50076,2024-03-22,JUG-084,PROD-06,UBI-PUE052,1.0
126,50077,2023-07-26,JUG-106,PROD-08,UBI-PUE135,1.0
127,50078,2026-04-30,JUG-022,PROD-05,UBI-PUE131,1.0
128,50079,2026-04-17,JUG-052,PROD-06,UBI-PUE171,2.0
129,50080,2025-02-15,JUG-088,PROD-03,UBI-PUE209,
130,50080,2025-02-15,JUG-088,PROD-07,UBI-PUE209,1.0
131,50080,2025-02-15,JUG-088,PROD-07,UBI-PUE209,1.0
132,50081,2025-05-14,JUG-180,PROD-02,UBI-PUE007,1.0
133,50082,2026-02-18,JUG-221,PROD-06,UBI-PUE122,3.0
134,50083,2024-12-23,JUG-130,PROD-02,UBI-PUE214,1.0
135,50083,2024-12-23,JUG-130,PROD-01,UBI-PUE214,3.0
136,50083,2024-12-23,JUG-130,PROD-02,UBI-PUE214,1.0
137,50084,2023-11-19,JUG-065,PROD-03,UBI-PUE149,1.0
138,50084,2023-11-19,JUG-065,PROD-07,UBI-PUE149,1.0
139,50084,2023-11-19,JUG-065,PROD-03,UBI-PUE149,1.0
140,50085,2025-03-02,JUG-246,PROD-07,UBI-PUE199,1.0
141,50085,2025-03-02,JUG-246,PROD-03,UBI-PUE199,1.0
142,50086,2025-11-20,JUG-007,PROD-05,UBI-PUE216,1.0
