jugador_id,fecha_registro,edad_nino,tipo_suscripcion
JUG-001,2023-09-15,12,Gratuita
JUG-002,2023-03-19,11,Gratuita
JUG-003,2024-02-17,9,Premium
JUG-004,2025-08-30,10,Premium
JUG-005,2024-12-18,9,Premium
JUG-006,2025-02-14,6,Gratuita
JUG-007,2025-07-05,7,Premium
JUG-008,2023-01-26,10,Gratuita
JUG-009,2025-04-08,7,Gratuita
JUG-010,2023-04-27,11,Gratuita
JUG-011,2023-12-18,11,Gratuita
JUG-012,2023-09-07,6,Gratuita
JUG-013,2025-09-02,9,Gratuita
JUG-014,2025-07-22,7,Gratuita
JUG-015,2024-04-12,8,Premium
JUG-016,2024-11-02,9,Gratuita
JUG-017,2023-10-16,11,Gratuita
JUG-018,2024-06-18,6,Gratuita
JUG-019,2023-05-20,11,Premium
JUG-020,2024-06-10,6,Gratuita
JUG-021,2025-02-27,11,Gratuita
JUG-022,2024-12-25,7,Gratuita
JUG-023,2025-04-12,12,Gratuita
JUG-024,2023-12-01,10,Gratuita
JUG-025,2023-11-04,6,Premium
JUG-026,2024-08-02,9,Gratuita
JUG-027,2023-03-11,11,Premium
JUG-028,2023-12-31,7,Gratuita
JUG-029,2024-12-08,11,Gratuita
JUG-030,2025-01-03,7,Gratuita
JUG-031,2024-12-27,7,Gratuita
JUG-032,2023-12-06,6,Gratuita
JUG-033,2025-06-29,10,Gratuita
JUG-034,2023-01-23,10,Gratuita
JUG-035,2023-07-02,12,Gratuita
JUG-036,2024-09-12,6,Gratuita
JUG-037,2024-04-15,9,Gratuita
JUG-038,2025-04-16,8,Gratuita
JUG-039,2023-01-21,8,Gratuita
JUG-040,2023-11-13,12,Gratuita
JUG-041,2025-01-01,8,Gratuita
JUG-042,2024-02-21,6,Premium
JUG-043,2025-09-13,9,Premium
JUG-044,2024-09-27,6,Premium
JUG-045,2024-03-30,9,Gratuita
JUG-046,2024-10-27,10,Gratuita
JUG-047,2025-07-23,7,Gratuita
JUG-048,2023-07-29,11,Gratuita
JUG-049,2025-08-17,10,Gratuita
JUG-050,2025-08-07,10,Gratuita
JUG-051,2024-08-17,7,Gratuita
JUG-052,2025-03-04,10,Gratuita
JUG-053,2023-09-25,6,Gratuita
JUG-054,2024-07-02,9,Gratuita
JUG-055,2025-07-18,7,Premium
JUG-056,2025-09-14,11,Gratuita
JUG-057,2025-09-17,12,Premium
JUG-058,2024-06-05,8,Gratuita
JUG-059,2023-12-09,10,Premium
JUG-060,2024-04-16,9,Gratuita
JUG-061,2025-01-19,7,Gratuita
JUG-062,2024-03-26,10,Gratuita
JUG-063,2024-05-17,6,Gratuita
JUG-064,2023-10-29,7,Premium
JUG-065,2023-11-04,12,Premium
JUG-066,2025-03-26,10,Gratuita
JUG-067,2023-08-17,6,Gratuita
JUG-068,2023-05-23,12,Gratuita
JUG-069,2023-03-27,7,Gratuita
JUG-070,2023-04-21,6,Premium
JUG-071,2025-04-02,7,Gratuita
JUG-072,2023-04-04,11,Gratuita
JUG-073,2025-06-06,6,Gratuita
JUG-074,2023-10-20,9,Gratuita
JUG-075,2025-03-24,11,Gratuita
JUG-076,2024-06-22,9,Gratuita
JUG-077,2025-03-01,11,Gratuita
JUG-078,2025-05-09,7,Gratuita
JUG-079,2025-04-03,7,Premium
JUG-080,2023-07-21,10,Premium
JUG-081,2023-12-08,10,Gratuita
JUG-082,2025-05-31,6,Premium
JUG-083,2024-01-30,9,Gratuita
JUG-084,2023-12-17,7,Premium
JUG-085,2023-10-16,11,Premium
JUG-086,2025-02-03,9,Gratuita
JUG-087,2025-08-18,12,Premium
JUG-088,2024-06-28,9,Gratuita
JUG-089,2024-07-18,6,Gratuita
JUG-090,2025-08-12,10,Gratuita
JUG-091,2025-04-07,11,Gratuita
JUG-092,2024-07-12,6,Gratuita
JUG-093,2025-07-02,11,Premium
JUG-094,2023-09-06,11,Gratuita
JUG-095,2024-08-09,7,Gratuita
JUG-096,2025-04-30,10,Premium
JUG-097,2025-07-12,11,Premium
JUG-098,2024-07-26,8,Gratuita
JUG-099,2023-03-05,12,Gratuita
JUG-100,2025-03-21,11,Gratuita
JUG-101,2024-08-25,8,Gratuita
JUG-102,2025-09-16,8,Gratuita
JUG-103,2024-09-27,7,Gratuita
JUG-104,2023-03-05,6,Gratuita
JUG-105,2023-03-09,11,Gratuita
JUG-106,2023-04-05,11,Premium
JUG-107,2023-09-06,11,Gratuita
JUG-108,2024-04-26,8,Gratuita
JUG-109,2024-10-02,6,Premium
JUG-110,2024-04-25,10,Gratuita
JUG-111,2023-10-04,7,Gratuita
JUG-112,2025-06-13,6,Gratuita
JUG-113,2024-01-12,8,Premium
JUG-114,2025-03-10,6,Gratuita
JUG-115,2024-11-15,9,Gratuita
JUG-116,2025-04-18,10,Gratuita
JUG-117,2023-03-19,6,Gratuita
JUG-118,2025-01-23,6,Gratuita
JUG-119,2023-02-05,7,Premium
JUG-120,2025-01-20,7,Gratuita
JUG-121,2024-12-04,8,Gratuita
JUG-122,2023-10-15,6,Gratuita
JUG-123,2025-05-18,10,Premium
JUG-124,2024-12-11,8,Gratuita
JUG-125,2025-04-16,8,Gratuita
JUG-126,2023-12-22,11,Gratuita
JUG-127,2025-09-25,6,Gratuita
JUG-128,2023-02-15,10,Gratuita
JUG-129,2025-06-25,6,Gratuita
JUG-130,2024-01-18,7,Gratuita
JUG-131,2025-03-27,6,Premium
JUG-132,2023-02-08,8,Gratuita
JUG-133,2025-03-28,8,Gratuita
JUG-134,2023-03-06,10,Premium
JUG-135,2023-05-21,11,Gratuita
JUG-136,2024-11-13,11,Gratuita
JUG-137,2024-02-06,11,Gratuita
JUG-138,2024-05-18,7,Gratuita
JUG-139,2025-06-25,11,Gratuita
JUG-140,2023-01-08,6,Gratuita
JUG-141,2024-05-15,9,Gratuita
JUG-142,2025-02-24,6,Gratuita
JUG-143,2023-10-29,7,Gratuita
JUG-144,2024-10-01,12,Gratuita
JUG-145,2024-08-31,7,Gratuita
JUG-146,2024-11-26,6,Gratuita
JUG-147,2025-05-31,11,Premium
JUG-148,2023-04-20,12,Gratuita
JUG-149,2023-01-04,7,Gratuita
JUG-150,2023-09-02,11,Gratuita
JUG-151,2023-08-29,12,Gratuita
JUG-152,2023-05-19,7,Premium
JUG-153,2025-06-06,12,Gratuita
JUG-154,2024-02-28,6,Gratuita
JUG-155,2023-04-10,6,Premium
JUG-156,2024-03-21,12,Gratuita
JUG-157,2023-07-09,6,Premium
JUG-158,2025-01-03,12,Gratuita
JUG-159,2023-01-04,11,Premium
JUG-160,2023-10-06,7,Gratuita
JUG-161,2023-02-05,12,Premium
JUG-162,2025-05-13,10,Gratuita
JUG-163,2024-05-28,8,Gratuita
JUG-164,2024-04-07,7,Premium
JUG-165,2024-08-31,8,Gratuita
JUG-166,2025-04-18,12,Gratuita
JUG-167,2023-07-29,8,Gratuita
JUG-168,2025-02-05,9,Gratuita
JUG-169,2023-05-14,11,Gratuita
JUG-170,2023-03-28,7,Gratuita
JUG-171,2024-09-26,6,Gratuita
JUG-172,2025-09-14,12,Gratuita
JUG-173,2023-09-13,9,Gratuita
JUG-174,2025-06-12,12,Gratuita
JUG-175,2025-08-23,11,Gratuita
JUG-176,2023-07-29,10,Gratuita
JUG-177,2025-01-16,11,Premium
JUG-178,2025-03-25,10,Gratuita
JUG-179,2024-04-02,10,Gratuita
JUG-180,2024-04-06,11,Gratuita
JUG-181,2023-08-14,7,Gratuita
JUG-182,2024-06-17,10,Gratuita
JUG-183,2024-07-14,11,Premium
JUG-184,2023-05-21,7,Gratuita
JUG-185,2025-07-06,10,Gratuita
JUG-186,2024-01-10,6,Premium
JUG-187,2023-03-20,11,Premium
JUG-188,2023-06-05,8,Gratuita
JUG-189,2023-02-06,7,Premium
JUG-190,2024-04-21,10,Premium
JUG-191,2023-09-24,7,Gratuita
JUG-192,2023-05-07,11,Gratuita
JUG-193,2024-12-21,7,Gratuita
JUG-194,2024-10-24,8,Gratuita
JUG-195,2025-08-15,7,Gratuita
JUG-196,2024-09-23,11,Gratuita
JUG-197,2023-03-17,11,Premium
JUG-198,2023-10-04,7,Gratuita
JUG-199,2025-01-07,12,Gratuita
JUG-200,2024-05-07,6,Gratuita
JUG-201,2024-04-09,7,Gratuita
JUG-202,2023-04-15,7,Gratuita
JUG-203,2023-03-19,11,Gratuita
JUG-204,2025-07-06,6,Gratuita
JUG-205,2024-11-18,12,Gratuita
JUG-206,2024-01-07,11,Gratuita
JUG-207,2023-09-03,11,Gratuita
JUG-208,2024-07-19,12,Gratuita
JUG-209,2024-03-12,7,Gratuita
JUG-210,2023-05-23,9,Premium
JUG-211,2025-03-23,6,Premium
JUG-212,2024-11-09,10,Gratuita
JUG-213,2023-08-15,10,Gratuita
JUG-214,2023-04-06,6,Premium
JUG-215,2023-08-08,8,Gratuita
JUG-216,2025-02-16,10,Gratuita
JUG-217,2023-10-06,11,Gratuita
JUG-218,2023-08-19,6,Gratuita
JUG-219,2024-05-08,6,Premium
JUG-220,2025-05-13,6,Gratuita
JUG-221,2025-03-05,6,Gratuita
JUG-222,2023-11-11,9,Gratuita
JUG-223,2023-03-09,10,Gratuita
JUG-224,2024-12-07,6,Gratuita
JUG-225,2023-01-15,8,Gratuita
JUG-226,2023-11-18,7,Premium
JUG-227,2024-05-22,7,Gratuita
JUG-228,2024-02-22,7,Gratuita
JUG-229,2024-08-05,11,Gratuita
JUG-230,2023-10-13,9,Gratuita
JUG-231,2024-10-21,9,Gratuita
JUG-232,2023-01-21,12,Premium
JUG-233,2025-08-06,8,Gratuita
JUG-234,2023-07-04,11,Premium
JUG-235,2024-04-23,9,Gratuita
JUG-236,2024-05-25,12,Premium
JUG-237,2023-05-03,6,Gratuita
JUG-238,2023-02-24,12,Gratuita
JUG-239,2023-10-16,11,Premium
JUG-240,2024-11-13,12,Gratuita
JUG-241,2025-08-12,10,Gratuita
JUG-242,2023-11-03,9,Gratuita
JUG-243,2025-05-31,7,Gratuita
JUG-244,2023-11-20,9,Gratuita
JUG-245,2024-11-29,12,Premium
JUG-246,2024-10-29,10,Gratuita
JUG-247,2023-03-25,11,Premium
JUG-248,2023-03-18,8,Gratuita
JUG-249,2023-06-28,12,Gratuita
JUG-250,2024-01-10,7,Gratuita
