id_renglon,venta_id,fecha_venta,jugador_id,producto_id,ubicacion_id,cantidad,nombre,categoria,precio,costo,fecha_registro,edad_nino,tipo_suscripcion,estado,municipio,latitud,longitud,Ingreso_Total,Costo_Total,Utilidad
1,50001,2024-03-18,JUG-206,PROD-01,UBI-PUE288,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2024-01-07,11,Gratuita,Puebla,Heroica Puebla De Zaragoza,19.121478555274138,-98.22252203203324,150.0,45.0,105.0
2,50001,2024-03-18,JUG-206,PROD-08,UBI-PUE288,2,Planilla Stickers,Papelería,35.0,8.0,2024-01-07,11,Gratuita,Puebla,Heroica Puebla De Zaragoza,19.121478555274138,-98.22252203203324,70.0,16.0,54.0
3,50002,2024-01-29,JUG-034,PROD-07,UBI-PUE042,1,Libreta de Tareas,Papelería,110.0,30.0,2023-01-23,10,Gratuita,Puebla,Tehuacán,18.44864555025473,-97.4108851583181,110.0,30.0,80.0
4,50002,2024-01-29,JUG-034,PROD-08,UBI-PUE042,1,Planilla Stickers,Papelería,35.0,8.0,2023-01-23,10,Gratuita,Puebla,Tehuacán,18.44864555025473,-97.4108851583181,35.0,8.0,27.0
5,50002,2024-01-29,JUG-034,PROD-03,UBI-PUE042,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2023-01-23,10,Gratuita,Puebla,Tehuacán,18.44864555025473,-97.4108851583181,280.0,90.0,190.0
6,50003,2024-04-18,JUG-189,PROD-01,UBI-PUE281,2,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2023-02-06,7,Premium,Puebla,Heroica Puebla De Zaragoza,19.04222968175412,-98.18887783125028,300.0,90.0,210.0
7,50004,2025-07-20,JUG-082,PROD-02,UBI-PUE110,2,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2025-05-31,6,Premium,Puebla,San Andrés Cholula,19.02428088417428,-98.31352596624932,160.0,10.0,150.0
8,50004,2025-07-20,JUG-082,PROD-01,UBI-PUE110,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2025-05-31,6,Premium,Puebla,San Andrés Cholula,19.02428088417428,-98.31352596624932,150.0,45.0,105.0
9,50004,2025-07-20,JUG-082,PROD-06,UBI-PUE110,3,Lapicera Colección,Papelería,95.0,25.0,2025-05-31,6,Premium,Puebla,San Andrés Cholula,19.02428088417428,-98.31352596624932,285.0,75.0,210.0
11,50005,2024-08-29,JUG-244,PROD-07,UBI-PUE039,1,Libreta de Tareas,Papelería,110.0,30.0,2023-11-20,9,Gratuita,Puebla,Tehuacán,18.47958222853272,-97.43148452408263,110.0,30.0,80.0
12,50006,2024-09-18,JUG-054,PROD-04,UBI-PUE191,3,Botella de Agua TDAH,Accesorios,120.0,35.0,2024-07-02,9,Gratuita,Puebla,Cuautlancingo (San Lorenzo Almecatla),19.141189929926924,-98.25532609322732,360.0,105.0,255.0
13,50007,2025-01-09,JUG-063,PROD-08,UBI-PUE048,3,Planilla Stickers,Papelería,35.0,8.0,2024-05-17,6,Gratuita,Puebla,Tehuacán,18.49342051489125,-97.46341354101769,105.0,24.0,81.0
14,50008,2023-12-25,JUG-225,PROD-08,UBI-PUE226,1,Planilla Stickers,Papelería,35.0,8.0,2023-01-15,8,Gratuita,Puebla,Chignahuapan,19.835450667319225,-98.04272048537683,35.0,8.0,27.0
15,50009,2025-05-30,JUG-211,PROD-08,UBI-PUE114,1,Planilla Stickers,Papelería,35.0,8.0,2025-03-23,6,Premium,Puebla,San Andrés Cholula,19.023991397638422,-98.31374286599394,35.0,8.0,27.0
16,50010,2024-03-11,JUG-213,PROD-04,UBI-PUE204,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2023-08-15,10,Gratuita,Puebla,Amozoc De Mota,19.04288111909371,-98.07729487818024,120.0,35.0,85.0
17,50010,2024-03-11,JUG-213,PROD-06,UBI-PUE204,1,Lapicera Colección,Papelería,95.0,25.0,2023-08-15,10,Gratuita,Puebla,Amozoc De Mota,19.04288111909371,-98.07729487818024,95.0,25.0,70.0
18,50011,2025-06-26,JUG-112,PROD-02,UBI-PUE129,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2025-06-13,6,Gratuita,Puebla,San Andrés Cholula,19.01732320515911,-98.31362781484478,80.0,5.0,75.0
19,50012,2025-07-10,JUG-030,PROD-01,UBI-PUE029,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2025-01-03,7,Gratuita,Puebla,Tehuacán,18.443597457880003,-97.38238936901048,150.0,45.0,105.0
20,50013,2026-03-30,JUG-243,PROD-04,UBI-PUE029,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2025-05-31,7,Gratuita,Puebla,Tehuacán,18.443597457880003,-97.38238936901048,120.0,35.0,85.0
21,50014,2026-07-30,JUG-166,PROD-01,UBI-PUE246,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2025-04-18,12,Gratuita,Puebla,San Antonio Matlahuacales,19.757575526206143,-98.079388839317,150.0,45.0,105.0
22,50014,2026-07-30,JUG-166,PROD-02,UBI-PUE246,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2025-04-18,12,Gratuita,Puebla,San Antonio Matlahuacales,19.757575526206143,-98.079388839317,80.0,5.0,75.0
23,50015,2024-05-12,JUG-192,PROD-06,UBI-PUE004,2,Lapicera Colección,Papelería,95.0,25.0,2023-05-07,11,Gratuita,Puebla,Xicotepec De Juárez,20.272545592784184,-97.96728405997214,190.0,50.0,140.0
